CellID,20-22_m,22-23_m,Cck,Pcp4,Pvalb,Sst,Vip,centroidX,centroidY
33149,0,0,1,0,0,0,0,1.819186e+04,8.718199e+03
33152,0,0,1,8,0,0,0,1.982748e+04,8.724589e+03
33155,0,0,0,1,0,0,0,1.804746e+04,8.758140e+03
33157,0,0,0,0,0,2,0,1.827365e+04,8.764319e+03
33160,0,0,0,1,0,0,0,1.956849e+04,8.779224e+03
33166,0,0,0,1,0,0,0,1.810451e+04,8.836172e+03
33167,0,0,0,0,0,1,0,1.962849e+04,8.856912e+03
33173,0,0,0,0,0,0,0,1.817596e+04,8.889770e+03
33179,0,0,0,1,0,0,0,1.843955e+04,8.943866e+03
33180,0,0,0,2,0,0,0,1.973245e+04,8.907006e+03
33182,0,0,0,2,0,0,0,1.825675e+04,8.955600e+03
33183,0,0,0,3,0,0,0,1.972677e+04,9.014590e+03
33187,0,0,2,6,1,0,0,1.812740e+04,8.997751e+03
33190,2,0,2,6,0,0,0,1.830694e+04,9.005827e+03
33192,2,0,1,3,1,0,0,1.939842e+04,9.036212e+03
33194,0,0,0,1,0,0,0,1.848468e+04,9.041513e+03
33195,1,0,1,3,0,0,0,1.980066e+04,9.049004e+03
33197,0,0,0,1,0,0,0,1.841969e+04,9.065422e+03
33200,0,0,0,1,0,0,0,1.827672e+04,9.062397e+03
33229,0,0,0,1,0,0,0,1.802507e+04,9.368206e+03
33230,0,0,2,1,0,0,0,1.852865e+04,9.370779e+03
33231,0,0,1,1,0,0,0,1.881202e+04,9.380449e+03
33254,0,0,0,2,0,0,0,1.799982e+04,9.503022e+03
33270,0,0,0,0,0,0,0,1.819268e+04,9.555947e+03
33290,0,0,0,2,0,0,0,1.959610e+04,9.611167e+03
33295,0,0,1,0,0,0,0,1.954310e+04,9.632637e+03
33297,0,0,1,0,0,0,0,1.943906e+04,9.622979e+03
33298,0,0,0,1,0,0,0,1.995302e+04,9.647975e+03
33301,0,0,0,1,0,0,0,1.947746e+04,9.670719e+03
33303,0,0,0,0,0,0,0,1.848729e+04,9.658538e+03
33306,0,0,0,0,1,0,0,1.938699e+04,9.662442e+03
33330,0,0,0,1,0,0,0,1.826086e+04,9.734389e+03
33331,0,0,0,3,0,0,0,1.798853e+04,9.727571e+03
33334,0,0,1,1,0,0,0,1.804735e+04,9.740709e+03
33335,0,1,0,0,0,0,0,1.975746e+04,9.749091e+03
33336,0,0,0,1,0,0,0,1.966725e+04,9.729175e+03
33338,0,0,0,0,0,0,0,1.913211e+04,9.722598e+03
33341,0,0,0,1,0,0,0,1.958850e+04,9.747815e+03
33351,0,0,0,0,0,0,0,1.936102e+04,9.767926e+03
33357,0,0,1,0,0,0,0,1.967113e+04,9.791135e+03
33364,0,0,0,0,0,0,0,1.987201e+04,9.820044e+03
33365,0,0,0,1,0,0,0,1.995123e+04,9.817505e+03
33370,0,0,0,0,0,0,0,1.934563e+04,9.840693e+03
33372,0,0,1,0,0,0,0,1.907608e+04,9.846902e+03
33374,0,0,0,2,0,0,0,1.939374e+04,9.854748e+03
33377,0,0,0,2,0,0,0,1.820575e+04,9.856044e+03
33378,0,0,0,2,0,0,0,1.823942e+04,9.865073e+03
33386,0,0,1,0,0,0,0,1.869922e+04,9.870525e+03
33388,0,0,0,0,0,0,0,1.905020e+04,9.886311e+03
33390,0,1,0,0,0,0,0,1.817248e+04,9.885687e+03
33391,0,0,0,1,0,0,0,1.964073e+04,9.891036e+03
33395,0,0,1,1,0,0,0,1.936735e+04,9.907911e+03
33396,0,0,1,0,0,0,0,1.953814e+04,9.912195e+03
33397,0,0,0,1,0,0,0,1.969724e+04,9.924412e+03
33407,1,0,0,0,0,0,0,1.872231e+04,9.939773e+03
33420,0,0,1,0,0,0,0,1.904410e+04,9.974929e+03
33422,0,0,0,0,1,0,0,1.879890e+04,9.966202e+03
33425,0,0,0,3,0,0,0,1.942842e+04,9.977606e+03
33427,0,0,0,1,0,0,0,1.821855e+04,9.975889e+03
33447,0,0,0,1,0,0,0,2.065218e+04,8.039650e+03
33454,0,0,0,1,0,0,0,2.115348e+04,8.059624e+03
33457,0,0,1,0,0,0,0,2.147896e+04,8.067989e+03
33458,0,0,0,1,0,0,0,2.097915e+04,8.088649e+03
33459,1,0,0,0,0,0,0,2.043281e+04,8.074948e+03
33467,0,0,0,2,0,0,0,2.193793e+04,8.081371e+03
33474,0,0,0,1,0,0,0,2.133410e+04,8.126472e+03
33477,0,0,0,1,0,0,0,2.190648e+04,8.131760e+03
33481,0,0,0,0,0,0,0,2.195619e+04,8.136976e+03
33482,1,0,0,0,0,0,0,2.061647e+04,8.121816e+03
33483,0,0,0,1,0,0,0,2.044020e+04,8.145973e+03
33484,0,0,0,5,0,0,0,2.014996e+04,8.124887e+03
33485,1,0,0,0,0,0,0,2.037855e+04,8.139019e+03
33486,0,0,0,1,0,0,0,2.010978e+04,8.149176e+03
33487,0,0,0,1,0,0,0,2.027279e+04,8.149341e+03
33492,0,0,0,1,0,0,0,2.159167e+04,8.205337e+03
33493,0,0,0,1,0,0,0,2.155559e+04,8.233264e+03
33495,0,0,0,0,0,0,0,2.146807e+04,8.257751e+03
33496,0,0,0,2,0,0,0,2.157472e+04,8.280081e+03
33497,0,0,1,5,0,0,0,2.041526e+04,8.255491e+03
